FacilityPK,FacilityName,FacilityTypeDesc,FacilityBuildingNo,FacilityStreetName,FacilityAptNo,FacilityCity,FacilityState,FacilityZipcode,Latitude,Longitude,FacilityPhone,ContactPhone,ContactPhoneExt,ContactName,AdditionalInfo,PricingDesc1,PricingDesc2,PricingDesc3,PricingDesc4,PricingDesc5
5022,Rite Aid Pharmacy,Pharmacy,115-10,Merrick Blvd,,Queens,NY,11434,41,-74,(718) 297-8350,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5023,Rite Aid Pharmacy,Pharmacy,122-02,Liberty Avenue,,Queens,NY,11419,41,-74,(718) 843-7001,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5024,Rite Aid Pharmacy,Pharmacy,109-07,101st Avenue,,Queens,NY,11419,41,-74,(718) 441-9311,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5025,Rite Aid Pharmacy,Pharmacy,1532,86th Street,,Brooklyn,NY,11228,41,-74,(718) 234-8444,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5026,Rite Aid Pharmacy,Pharmacy,4910,Broadway,,Manhattan,NY,10034,41,-74,(212) 569-2512,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5027,Rite Aid Pharmacy,Pharmacy,35,West 125TH Street,,Manhattan,NY,10027,41,-74,(212) 828-1772,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5028,Rite Aid Pharmacy,Pharmacy,542,Second Avenue,,Manhattan,NY,10016,41,-74,(212) 213-9887,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5043,Rite Aid Pharmacy,Pharmacy,71-18,Kissena Boulevard,,Queens,NY,11367,41,-74,(718) 793-3400,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5044,Rite Aid Pharmacy,Pharmacy,55-60,Myrtle Avenue,,Queens,NY,11385,41,-74,(718) 456-8555,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5045,Rite Aid Pharmacy,Pharmacy,89-10,Jamaica Avenue,,Queens,NY,11421,41,-74,(718) 849-7777,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5046,Rite Aid Pharmacy,Pharmacy,78-14,Linden Boulevard,,Queens,NY,11414,41,-74,(718) 296-2581,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5047,Rite Aid Pharmacy,Pharmacy,7812,Flatlands Avenue,,Brooklyn,NY,11236,41,-74,(718) 531-5023,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5048,Rite Aid Pharmacy,Pharmacy,2819,Church Avenue,,Brooklyn,NY,11226,41,-74,(718) 940-3461,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5049,Rite Aid Pharmacy,Pharmacy,1091,Ogden Avenue,,Bronx,NY,10452,41,-74,(718) 293-5271,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5050,Rite Aid Pharmacy,Pharmacy,49,West Fordham Road,,Bronx,NY,10468,41,-74,(718) 733-3808,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5051,Rite Aid Pharmacy,Pharmacy,218-35,Hempstead Avenue,,Queens,NY,11429,41,-74,(718) 465-8046,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5052,Rite Aid Pharmacy,Pharmacy,2750,Boston Road,,Bronx,NY,10467,41,-74,(718) 405-2127,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5187,Rite Aid Pharmacy,Pharmacy,4188,Broadway,,Manhattan,NY,10033,41,-74,(212) 781-5396,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5250,Walgreens Drug Store,Pharmacy,5564,Broadway,,Bronx,NY,10463,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5251,Walgreens Drug Store,Pharmacy,33-55,Crescent Street,,Queens,NY,11106,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5252,Walgreens Drug Store,Pharmacy,532,Neptune Avenue,,Brooklyn,NY,11224,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5253,Walgreens Drug Store,Pharmacy,104-25,Queens Boulevard,,Queens,NY,11375,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5254,Walgreens Drug Store,Pharmacy,44-15,Kissena Boulevard,,Queens,NY,11355,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5255,Walgreens Drug Store,Pharmacy,1579,Forest Avenue,,Staten Island,NY,10302,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5256,Walgreens Drug Store,Pharmacy,82-77,Broadway,,Queens,NY,11373,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5257,Walgreens Drug Store,Pharmacy,755,Broadway,,Brooklyn,NY,11206,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5258,Walgreens Drug Store,Pharmacy,109-62,Francis Lewis boulevard,,Queens,NY,11429,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5259,Walgreens Drug Store,Pharmacy,1973,Forest Avenue,,Staten Island,NY,10303,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5260,Walgreens Drug Store,Pharmacy,5716,Avenue U,,Brooklyn,NY,11234,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5262,Walgreens Drug Store,Pharmacy,84-20,Broadway,,Queens,NY,11373,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5263,Walgreens Drug Store,Pharmacy,503,Atlantic Ave,,Brooklyn,NY,11217,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5264,Walgreens Drug Store,Pharmacy,210-232,Union Ave,,Brooklyn,NY,11211,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5265,Walgreens Drug Store,Pharmacy,119-0-119-2,Rockaway Blvd,,Queens,NY,11420,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5266,Walgreens Drug Store,Pharmacy,159-34-159-58,Jamaica Ave,,Queens,NY,11432,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5267,Walgreens Drug Store,Pharmacy,127,Guy R Brewer Blvd,,Queens,NY,11434,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5268,Walgreens Drug Store,Pharmacy,149-16-149-28,14th Ave,,Queens,NY,11357,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5269,Walgreens Drug Store,Pharmacy,219-14-219-88,Merrick Blvd,,Queens,NY,11413,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5270,Walgreens Drug Store,Pharmacy,53,Williamsbridge Rd,,Bronx,NY,10461,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5271,Walgreens Drug Store,Pharmacy,144,4th Ave,,Manhattan,NY,10003,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5272,Walgreens Drug Store,Pharmacy,1547-1551,Richmond Ave,,Staten Island,NY,10314,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5273,Walgreens Drug Store,Pharmacy,946,Kings Highway,,Brooklyn,NY,11223,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5274,Walgreens Drug Store,Pharmacy,103-14,Roosevelt Avenue,,Queens,NY,11368,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5275,Walgreens Drug Store,Pharmacy,1227,Forest Avenue,,Staten Island,NY,10310,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5276,Walgreens Drug Store,Pharmacy,14-01,College Point Boulevard,,Queens,NY,11356,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5277,Walgreens Drug Store,Pharmacy,33,East 23rd Street,,Manhattan,NY,10010,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5278,Walgreens Drug Store,Pharmacy,1759,Hylan Boulevard,,Staten Island,NY,10305,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5279,Walgreens Drug Store,Pharmacy,83-45,Langdale Street,,Queens,NY,11004,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5280,Walgreens Drug Store,Pharmacy,955,Manor Road,,Staten Island,NY,10314,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5281,Walgreens Drug Store,Pharmacy,20,Astor Place,,Manhattan,NY,10003,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5528,DUANE READE PHARMACY,Pharmacy,91-21,QUEENS BOULEVARD,,Queens,NY,11373,41,-74,(718) 898-3970,,,,,$31.99 for Flu Shot,$79.99 for Pneumonia Shot,,,
5282,Walgreens Drug Store,Pharmacy,80-11,Eliot Avenue,,Queens,NY,11379,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5283,Walgreens Drug Store,Pharmacy,7815,Northern Boulevard,,Queens,NY,11372,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5284,Walgreens Drug Store,Pharmacy,2101,Church Avenue,,Brooklyn,NY,11226,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5285,Walgreens Drug Store,Pharmacy,298,1st Avenue,,Manhattan,NY,10009,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5286,Walgreens Drug Store,Pharmacy,1000,2nd Avenue,,Manhattan,NY,10022,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5287,Walgreens Drug Store,Pharmacy,713,Brighton Beach Avenue,,Brooklyn,NY,11235,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5288,Walgreens Drug Store,Pharmacy,406,E Fordham Rd,,Bronx,NY,10458,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5289,Walgreens Drug Store,Pharmacy,1165,3rd Ave,,Manhattan,NY,10065,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5290,Walgreens Drug Store,Pharmacy,373-379,Myrtle Ave,,Brooklyn,NY,11205,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5291,Walgreens Drug Store,Pharmacy,2568-2574,Broadway,,Manhattan,NY,10025,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5292,Walgreens Drug Store,Pharmacy,3001-3009,Church Ave,,Brooklyn,NY,11226,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5293,Walgreens Drug Store,Pharmacy,2400-2424,Boston Rd,,Bronx,NY,10467,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5294,Walgreens Drug Store,Pharmacy,73-1-73-15,Kissena Blvd,,Queens,NY,11367,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5295,Walgreens Drug Store,Pharmacy,1366,Broadway,,Brooklyn,NY,11221,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5296,Walgreens Drug Store,Pharmacy,1370,Metropolitan Ave,,Bronx,NY,10462,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5297,Walgreens Drug Store,Pharmacy,7002,13th Avenue,,Brooklyn,NY,11228,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5298,Walgreens Drug Store,Pharmacy,1401,Avenue J,,Brooklyn,NY,11230,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5299,Walgreens Drug Store,Pharmacy,6628,18th Avenue,,Brooklyn,NY,11204,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5300,Walgreens Drug Store,Pharmacy,2817,3rd Avenue,,Bronx,NY,10455,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5301,Walgreens Drug Store,Pharmacy,114,Beverly Road,,Brooklyn,NY,11218,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5303,Walgreens Drug Store,Pharmacy,545,3rd Avenue,,Manhattan,NY,10016,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5304,Walgreens Drug Store,Pharmacy,1471,Broadway,,Manhattan,NY,10036,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5305,Walgreens Drug Store,Pharmacy,1404,Rockaway Parkway,,Brooklyn,NY,11236,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5306,Walgreens Drug Store,Pharmacy,285,Kings Highway,,Brooklyn,NY,11223,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5307,Walgreens Drug Store,Pharmacy,2504,Eastchester Road,,Bronx,NY,10469,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5309,Walgreens Drug Store,Pharmacy,353,West 57th Street,,Manhattan,NY,10019,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5310,Walgreens Drug Store,Pharmacy,9408,3rd Avenue,,Brooklyn,NY,11209,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5311,Walgreens Drug Store,Pharmacy,1612,Westchester Avenue,,Bronx,NY,10472,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5312,Rite Aid Pharmacy,Pharmacy,925,Soundview Avenue,,Bronx,NY,10473,41,-74,(718) 328-2129,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5313,Rite Aid Pharmacy,Pharmacy,1360,Hylan Blvd,,Staten Island,NY,10305,41,-74,(718) 987-7300,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5314,Rite Aid Pharmacy,Pharmacy,1299,2nd Avenue,,Manhattan,NY,10065,41,-74,(212) 772-0104,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5315,Rite Aid Pharmacy,Pharmacy,7009,13th Avenue,,Brooklyn,NY,11228,41,-74,(718) 256-1761,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5316,Rite Aid Pharmacy,Pharmacy,2064,Mill Avenue,,Brooklyn,NY,11234,41,-74,(718) 531-0408,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5317,Rite Aid Pharmacy,Pharmacy,320,Smith Street,,Brooklyn,NY,11231,41,-74,(718) 403-9371,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5318,Rite Aid Pharmacy,Pharmacy,723,Manhattan Avenue,,Brooklyn,NY,11222,41,-74,(718) 383-7967,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5319,Rite Aid Pharmacy,Pharmacy,840,Westchester Avenue,,Bronx,NY,10459,41,-74,(718) 378-4600,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5320,Walgreens Drug Store,Pharmacy,3085,East Tremont,,Bronx,NY,10461,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5321,Walgreens Drug Store,Pharmacy,5001,Church Ave,,Brooklyn,NY,11203,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5322,Walgreens Drug Store,Pharmacy,3082,Avenue U,,Brooklyn,NY,11229,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5323,Walgreens Drug Store,Pharmacy,4915,Flatlands Ave,,Brooklyn,NY,11234,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5324,Walgreens Drug Store,Pharmacy,2590,Coney Island Avenue,,Brooklyn,NY,11223,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5325,Walgreens Drug Store,Pharmacy,1847,Rockaway Pky,,Brooklyn,NY,11236,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5326,Walgreens Drug Store,Pharmacy,1328,2nd Avenue,,Manhattan,NY,10021,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5327,Walgreens Drug Store,Pharmacy,218-51,Hempstead Ave,,Queens,NY,11429,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5328,Walgreens Drug Store,Pharmacy,758,Arthur Kill Road,,Staten Island,NY,10312,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5329,Walgreens Drug Store,Pharmacy,2270,Clove Rd,,Staten Island,NY,10305,41,-74,(800) 358-9950,,,,,$39.99 for flumist,Call for pricing information.,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,
5330,Walgreens Drug Store,Pharmacy,570,Tompkins Ave,,Staten Island,NY,10305,41,-74,(800) 358-9950,,,,,$39.99 for flumist,$31.99 for Flu Shot,$89.99 for Pneumonia Shot,,
5337,Rite Aid Pharmacy,Pharmacy,237,Avenue U,,Brooklyn,NY,11223,41,-74,(718) 946-4370,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5338,Rite Aid Pharmacy,Pharmacy,5825,Broadway,,Bronx,NY,10463,41,-74,(718) 581-0840,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5339,Rite Aid Pharmacy,Pharmacy,4368,Amboy Road,,Staten Island,NY,10312,41,-74,(718) 227-3049,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5340,Rite Aid Pharmacy,Pharmacy,120,Court Street,,Brooklyn,NY,11201,41,-74,(718) 643-2146,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5341,Rite Aid Pharmacy,Pharmacy,3012,3RD AVE,,Bronx,NY,10455,41,-74,(718) 665-6506,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5342,Rite Aid Pharmacy,Pharmacy,5237,Broadway,,Bronx,NY,10463,41,-74,(718) 733-4880,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5343,Rite Aid Pharmacy,Pharmacy,2748,East Tremont Avenue,,Bronx,NY,10461,41,-74,(718) 829-6808,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5344,Rite Aid Pharmacy,Pharmacy,3590,East Tremont Avenue,,Bronx,NY,10465,41,-74,(718) 792-9258,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5345,Rite Aid Pharmacy,Pharmacy,2981,Ocean Avenue,,Brooklyn,NY,11235,41,-74,(718) 332-1001,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5530,DUANE READE PHARMACY,Pharmacy,666,Courtlandt Ave,,Bronx,NY,10451,41,-74,(718) 292-1856,,,,,$31.99 for Flu Shot,$79.99 for Pneumonia Shot,,,
5346,Rite Aid Pharmacy,Pharmacy,7501,5th Avenue,,Brooklyn,NY,11209,41,-74,(718) 492-4495,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5347,Rite Aid Pharmacy,Pharmacy,21B,Knolls Crescent,,Bronx,NY,10463,41,-74,(718) 432-3030,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5348,Rite Aid Pharmacy,Pharmacy,1033,St.Nicholas Ave,,Manhattan,NY,10032,41,-74,(212) 795-3218,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5350,Rite Aid Pharmacy,Pharmacy,8222,18th avenue,,Brooklyn,NY,11214,41,-74,(718) 256-6635,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5351,Rite Aid Pharmacy,Pharmacy,6423,Fort Hamilton Parkway,,Brooklyn,NY,11219,41,-74,(718) 567-0890,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5352,Rite Aid Pharmacy,Pharmacy,15-08,College Point Blvd,,Queens,NY,11356,41,-74,(718) 445-5800,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5353,Rite Aid Pharmacy,Pharmacy,153-65,Cross Island Pkwy,,Queens,NY,11357,41,-74,(718) 767-6000,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5354,Rite Aid Pharmacy,Pharmacy,19-23,Utopia Parkway,,Queens,NY,11357,41,-74,(718) 767-4854,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5355,Rite Aid Pharmacy,Pharmacy,43-20,Bell Blvd,,Queens,NY,11361,41,-74,(718) 631-8200,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
5356,Rite Aid Pharmacy,Pharmacy,61-29,Springfield Blvd,,Queens,NY,11364,41,-74,(718) 428-8888,,,,,$39.99 for flumist,$29.99 for Flu Shot,$33.99 for Intradermal,$74.99 for Pneumonia Shot,
